Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2020-03-01,-0.13390000000000002,-0.0828,-0.1387,-0.015700000000000002,0.0124,0.0013
2020-04-01,0.1365,0.0256,-0.013300000000000001,0.027200000000000002,-0.01,0.0
2020-05-01,0.0558,0.0197,-0.048799999999999996,0.0095,-0.0326,0.0001
2020-06-01,0.0246,0.0196,-0.022000000000000002,0.0009,0.0054,0.0001
2020-07-01,0.057699999999999994,-0.032,-0.0141,0.0040999999999999995,0.0102,0.0001
2020-08-01,0.07629999999999999,-0.0089,-0.0297,0.042800000000000005,-0.011899999999999999,0.0001
2020-09-01,-0.0363,0.0001,-0.0271,-0.013600000000000001,-0.018500000000000003,0.0001
2020-10-01,-0.021,0.0464,0.0425,-0.0083,-0.0078000000000000005,0.0001
2020-11-01,0.1247,0.0711,0.0209,-0.022000000000000002,0.013999999999999999,0.0001
2020-12-01,0.0463,0.0479,-0.0151,-0.0196,-0.0012,0.0001
2021-01-01,-0.0003,0.0694,0.0301,-0.0378,0.049400000000000006,0.0001
2021-02-01,0.0278,0.0454,0.07150000000000001,0.0039000000000000003,-0.0194,0.0
2021-03-01,0.0308,-0.0088,0.0739,0.0636,0.0342,0.0
2021-04-01,0.0493,-0.0316,-0.0095,0.024399999999999998,-0.027000000000000003,0.0
2021-05-01,0.0029,0.012199999999999999,0.0709,0.0245,0.0304,0.0
2021-06-01,0.0275,-0.0034000000000000002,-0.0787,-0.021400000000000002,-0.009399999999999999,0.0
2021-07-01,0.0127,-0.0461,-0.0178,0.0546,-0.0052,0.0
2021-08-01,0.0291,-0.0068000000000000005,-0.0015,-0.0028000000000000004,-0.0179,0.0
2021-09-01,-0.0437,0.011200000000000002,0.0508,-0.0196,0.021,0.0
2021-10-01,0.0665,-0.027000000000000003,-0.0049,0.0166,-0.014499999999999999,0.0
2021-11-01,-0.0155,-0.0177,-0.0045000000000000005,0.07200000000000001,0.0173,0.0
2021-12-01,0.031,-0.008,0.0326,0.049100000000000005,0.044000000000000004,0.0001
2022-01-01,-0.0625,-0.0406,0.1275,0.0084,0.07719999999999999,0.0
2022-02-01,-0.0229,0.0292,0.0308,-0.0209,0.031200000000000002,0.0
2022-03-01,0.0305,-0.0217,-0.0181,-0.015300000000000001,0.031400000000000004,0.0001
2022-04-01,-0.0946,-0.0039000000000000003,0.0617,0.0352,0.058899999999999994,0.0001
2022-05-01,-0.0034000000000000002,-0.0006,0.0839,0.015600000000000001,0.0397,0.0003
2022-06-01,-0.0843,0.013000000000000001,-0.059699999999999996,0.0181,-0.046900000000000004,0.0006
2022-07-01,0.09570000000000001,0.0182,-0.0405,0.008199999999999999,-0.0683,0.0008
2022-08-01,-0.0377,0.0152,0.0029,-0.0475,0.0129,0.0019
2022-09-01,-0.0935,-0.0105,0.0005,-0.0151,-0.008,0.0019
2022-10-01,0.0783,0.0189,0.0801,0.0334,0.0664,0.0023
2022-11-01,0.046,-0.0274,0.0138,0.0638,0.0318,0.0029
2022-12-01,-0.0641,-0.0015,0.0137,0.0025,0.042,0.0033
2023-01-01,0.0665,0.0441,-0.0401,-0.024399999999999998,-0.0447,0.0034999999999999996
2023-02-01,-0.0258,0.0066,-0.008100000000000001,0.0101,-0.013300000000000001,0.0034000000000000002
2023-03-01,0.025099999999999997,-0.0694,-0.0885,0.022400000000000003,-0.023700000000000002,0.0036
2023-04-01,0.0060999999999999995,-0.0256,-0.0004,0.0242,0.0286,0.0034999999999999996
2023-05-01,0.0034999999999999996,-0.0038,-0.07719999999999999,-0.0181,-0.0722,0.0036
2023-06-01,0.0646,0.0134,-0.0026,0.0218,-0.016200000000000003,0.004
2023-07-01,0.0321,0.0286,0.041100000000000005,-0.005699999999999999,0.005699999999999999,0.0045000000000000005
2023-08-01,-0.0239,-0.0365,-0.0106,0.034300000000000004,-0.023700000000000002,0.0045000000000000005
