,Sector
FOXA,Communication Services
FOX,Communication Services
BEN,Financials
FCX,Materials
FRPT,Consumer Staples
FYBR,Communication Services
CFR,Financials
FCN,Industrials
GME,Consumer Discretionary
GLPI,Real Estate
GPS,Consumer Discretionary
GRMN,Consumer Discretionary
IT,Information Technology
GTES,Industrials
GE,Industrials
GEN,Information Technology
GNRC,Industrials
GD,Industrials
GIS,Consumer Staples
GM,Consumer Discretionary
G,Information Technology
GNTX,Consumer Discretionary
GPC,Consumer Discretionary
GILD,Health Care
GPN,Financials
GLOB,Information Technology
GL,Financials
GMED,Health Care
GDDY,Information Technology
GS,Financials
GGG,Industrials
GWW,Industrials
LOPE,Consumer Discretionary
GPK,Materials
GWRE,Information Technology
HAL,Energy
THG,Financials
HOG,Consumer Discretionary
HIG,Financials
HAS,Consumer Discretionary
HE,Utilities
HCA,Health Care
HR,Real Estate
PEAK,Real Estate
HEI,Industrials
JKHY,Financials
HSY,Consumer Staples
HTZ,Industrials
HES,Energy
HPE,Information Technology
HXL,Industrials
HIW,Real Estate
HLT,Consumer Discretionary
HOLX,Health Care
HD,Consumer Discretionary
HON,Industrials
HRL,Consumer Staples
HST,Real Estate
HLI,Financials
HHH,Real Estate
HWM,Industrials
HPQ,Information Technology
HUBB,Industrials
HUBS,Information Technology
HUM,Health Care
HBAN,Financials
HII,Industrials
HUN,Materials
H,Consumer Discretionary
IBM,Information Technology
ICLR,Health Care
ICUI,Health Care
IDA,Utilities
IEX,Industrials
IDXX,Health Care
ITW,Industrials
ILMN,Health Care
INCY,Health Care
IR,Industrials
INGR,Consumer Staples
INSP,Health Care
PODD,Health Care
IART,Health Care
INTC,Information Technology
IBKR,Financials
ICE,Financials
IFF,Materials
IP,Materials
INTU,Information Technology
ISRG,Health Care
IVZ,Financials
INVH,Real Estate
IONS,Health Care
IPG,Communication Services
IPGP,Information Technology
IQV,Health Care
IRDM,Communication Services
IRM,Real Estate
ITT,Industrials
JBL,Information Technology
J,Industrials
JHG,Financials
JAZZ,Health Care
JBHT,Industrials
JEF,Financials
JNJ,Health Care
JCI,Industrials
JLL,Real Estate
JPM,Financials
JNPR,Information Technology
KBR,Industrials
K,Consumer Staples
KMPR,Financials
KDP,Consumer Staples
KEY,Financials
KEYS,Information Technology
KRC,Real Estate
KMB,Consumer Staples
KIM,Real Estate
KMI,Energy
KNSL,Financials
KEX,Industrials
KKR,Financials
KLAC,Information Technology
KNX,Industrials
KSS,Consumer Discretionary
KHC,Consumer Staples
KR,Consumer Staples
LHX,Industrials
LH,Health Care
LRCX,Information Technology
LAMR,Real Estate
LW,Consumer Staples
LSTR,Industrials
LVS,Consumer Discretionary
LSCC,Information Technology
LAZ,Financials
LEA,Consumer Discretionary
LEG,Consumer Discretionary
LDOS,Industrials
LEN,Consumer Discretionary
LII,Industrials
LBRDA,Communication Services
LBRDK,Communication Services
FWONA,Communication Services
FWONK,Communication Services
LLYVA,Communication Services
LLYVK,Communication Services
LSXMA,Communication Services
LSXMK,Communication Services
LLY,Health Care
LECO,Industrials
LNC,Financials
LIN,Materials
LAD,Consumer Discretionary
LFUS,Information Technology
LYV,Communication Services
LKQ,Consumer Discretionary
LMT,Industrials
L,Financials
LPX,Materials
LOW,Consumer Discretionary
LPLA,Financials
LULU,Consumer Discretionary
LITE,Information Technology
LYB,Materials
MTB,Financials
M,Consumer Discretionary
MSGS,Communication Services
MANH,Information Technology
MAN,Industrials
MRO,Energy
MPC,Energy
MKL,Financials
MKTX,Financials
MAR,Consumer Discretionary
VAC,Consumer Discretionary
MMC,Financials
MLM,Materials
MAS,Industrials
MASI,Health Care
MTZ,Industrials
MA,Financials
MTCH,Communication Services
MAT,Consumer Discretionary
MKC,Consumer Staples
MCD,Consumer Discretionary
MCK,Health Care
MDU,Utilities
MPW,Real Estate
MEDP,Health Care
MDT,Health Care
MRK,Health Care
MRCY,Industrials
META,Communication Services
MET,Financials
MTD,Health Care
MTG,Financials
MGM,Consumer Discretionary
MCHP,Information Technology
MU,Information Technology
MSFT,Information Technology
MAA,Real Estate
MIDD,Industrials
MRTX,Health Care
MKSI,Information Technology
MRNA,Health Care
MHK,Consumer Discretionary
MOH,Health Care
TAP,Consumer Staples
MDLZ,Consumer Staples
MDB,Information Technology
MPWR,Information Technology
MNST,Consumer Staples
MCO,Financials
MS,Financials
MORN,Financials
MOS,Materials
MSI,Information Technology
MSA,Industrials
MSM,Industrials
MSCI,Financials
MUSA,Consumer Discretionary
NDAQ,Financials
NTRA,Health Care
NFG,Utilities
NSA,Real Estate
NATL,Financials
VYX,Information Technology
NTAP,Information Technology
NFLX,Communication Services
NBIX,Health Care
NEWR,Information Technology
NYCB,Financials
NYT,Communication Services
NWL,Consumer Discretionary
NEU,Materials
NEM,Materials
NWSA,Communication Services
NWS,Communication Services
NXST,Communication Services
NEE,Utilities
NKE,Consumer Discretionary
NI,Utilities
NNN,Real Estate
NDSN,Industrials
JWN,Consumer Discretionary
NSC,Industrials
NTRS,Financials
NOC,Industrials
NCLH,Consumer Discretionary
NOV,Energy
NVCR,Health Care
NRG,Utilities
NUE,Materials
NTNX,Information Technology
NVT,Industrials
NVDA,Information Technology
NVR,Consumer Discretionary
ORLY,Consumer Discretionary
OXY,Energy
OGE,Utilities
OKTA,Information Technology
ODFL,Industrials
ORI,Financials
OLN,Materials
OLLI,Consumer Discretionary
OHI,Real Estate
OMC,Communication Services
ON,Information Technology
OMF,Financials
OKE,Energy
ORCL,Information Technology
OSK,Industrials
OC,Industrials
PCAR,Industrials
PKG,Materials
PANW,Information Technology
PARAA,Communication Services
PARA,Communication Services
PK,Real Estate
PH,Industrials
PAYX,Industrials
PAYC,Information Technology
PCTY,Information Technology
PYPL,Financials
PEGA,Information Technology
PENN,Consumer Discretionary
PAG,Consumer Discretionary
PNR,Industrials
PEN,Health Care
PEP,Consumer Staples
PFGC,Consumer Staples
PRGO,Health Care
PFE,Health Care
PCG,Utilities
PM,Consumer Staples
PSX,Energy
PPC,Consumer Staples
PNFP,Financials
PNW,Utilities
PXD,Energy
PLNT,Consumer Discretionary
PLUG,Industrials
PNC,Financials
PII,Consumer Discretionary
POOL,Consumer Discretionary
BPOP,Financials
POST,Consumer Staples
PPG,Materials
PPL,Utilities
PINC,Health Care
TROW,Financials
PRI,Financials
PFG,Financials
PG,Consumer Staples
PGR,Financials
PLD,Real Estate
PB,Financials
PRU,Financials
PTC,Information Technology
PSA,Real Estate
PEG,Utilities
PHM,Consumer Discretionary
PSTG,Information Technology
PVH,Consumer Discretionary
QGEN,Health Care
QRVO,Information Technology
QCOM,Information Technology
PWR,Industrials
DGX,Health Care
RL,Consumer Discretionary
RRC,Energy
RJF,Financials
RYN,Real Estate
RTX,Industrials
RBC,Industrials
O,Real Estate
RRX,Industrials
REG,Real Estate
REGN,Health Care
RF,Financials
RGA,Financials
RS,Materials
RNR,Financials
RGEN,Health Care
RSG,Industrials
RMD,Health Care
RVTY,Health Care
REXR,Real Estate
RH,Consumer Discretionary
RNG,Information Technology
RBA,Industrials
RITM,Financials
RLI,Financials
RHI,Industrials
ROK,Industrials
ROKU,Communication Services
ROL,Industrials
ROP,Industrials
ROST,Consumer Discretionary
RCL,Consumer Discretionary
RGLD,Materials
RPM,Materials
R,Industrials
SPGI,Financials
SAIA,Industrials
SAIC,Industrials
CRM,Information Technology
SLM,Financials
SRPT,Health Care
SBAC,Real Estate
HSIC,Health Care
SLB,Energy
SNDR,Industrials
SMG,Materials
SEB,Consumer Staples
SGEN,Health Care
SEE,Materials
SEIC,Financials
SRE,Utilities
ST,Industrials
SCI,Consumer Discretionary
NOW,Information Technology
SHW,Materials
SLGN,Materials
SPG,Real Estate
SIRI,Communication Services
SITE,Industrials
SKX,Consumer Discretionary
SWKS,Information Technology
SMAR,Information Technology
AOS,Industrials
SJM,Consumer Staples
SNA,Industrials
SON,Materials
SO,Utilities
SCCO,Materials
LUV,Industrials
SWN,Energy
SPB,Consumer Staples
SPR,Industrials
SRC,Real Estate
SPLK,Information Technology
SPOT,Communication Services
SSNC,Information Technology
STAG,Real Estate
SWK,Industrials
SBUX,Consumer Discretionary
STWD,Financials
STT,Financials
STLD,Materials
SRCL,Industrials
SF,Financials
SYK,Health Care
SUI,Real Estate
RUN,Industrials
SYF,Financials
SNPS,Information Technology
SNV,Financials
SYY,Consumer Staples
TMUS,Communication Services
TTWO,Communication Services
TNDM,Health Care
TPR,Consumer Discretionary
TRGP,Energy
TGT,Consumer Staples
SNX,Information Technology
FTI,Energy
TDOC,Health Care
TDY,Industrials
TFX,Health Care
TPX,Consumer Discretionary
THC,Health Care
TDC,Information Technology
TER,Information Technology
TSLA,Consumer Discretionary
TTEK,Industrials
TXN,Information Technology
TXRH,Consumer Discretionary
TXT,Industrials
TMO,Health Care
TFSL,Financials
THO,Consumer Discretionary
TKR,Industrials
TJX,Consumer Discretionary
TOL,Consumer Discretionary
BLD,Consumer Discretionary
TTC,Industrials
TSCO,Consumer Discretionary
TTD,Information Technology
TT,Industrials
TDG,Industrials
TRU,Industrials
TNL,Consumer Discretionary
TRV,Financials
TREX,Industrials
TRMB,Information Technology
TRIP,Communication Services
TFC,Financials
TWLO,Information Technology
TYL,Information Technology
TSN,Consumer Staples
UHAL,Industrials
X,Materials
UI,Information Technology
UDR,Real Estate
UGI,Utilities
ULTA,Consumer Discretionary
RARE,Health Care
UAA,Consumer Discretionary
UA,Consumer Discretionary
UNP,Industrials
UAL,Industrials
UPS,Industrials
URI,Industrials
UTHR,Health Care
UNH,Health Care
OLED,Information Technology
UHS,Health Care
UNM,Financials
USB,Financials
USFD,Consumer Staples
MTN,Consumer Discretionary
VLO,Energy
VMI,Industrials
VVV,Materials
VEEV,Health Care
VTR,Real Estate
VRSN,Information Technology
VRSK,Industrials
VZ,Communication Services
VRTX,Health Care
VRT,Industrials
VFC,Consumer Discretionary
VSAT,Information Technology
VICI,Real Estate
VIRT,Financials
V,Financials
VST,Utilities
VMW,Information Technology
VNO,Real Estate
VOYA,Financials
VMC,Materials
WPC,Real Estate
WAB,Industrials
WBA,Consumer Staples
WMT,Consumer Staples
WBD,Communication Services
WM,Industrials
WSO,Industrials
W,Consumer Discretionary
WBS,Financials
WEC,Utilities
WFC,Financials
WELL,Real Estate
WEN,Consumer Discretionary
WCC,Industrials
WST,Health Care
WAL,Financials
WDC,Information Technology
WU,Information Technology
WLK,Materials
WRK,Materials
WEX,Financials
WY,Real Estate
WHR,Consumer Discretionary
WTM,Financials
WMB,Energy
WSM,Consumer Discretionary
WTW,Financials
WSC,Industrials
WING,Consumer Discretionary
WTFC,Financials
WOLF,Information Technology
WWD,Industrials
WDAY,Information Technology
WH,Consumer Discretionary
WYNN,Consumer Discretionary
XEL,Utilities
XP,Financials
XPO,Industrials
XYL,Industrials
YETI,Consumer Discretionary
YUM,Consumer Discretionary
ZBRA,Information Technology
ZG,Real Estate
Z,Real Estate
ZBH,Health Care
ZION,Financials
ZTS,Health Care
ZS,Information Technology
